50	200	1
0	209	209	0	0	1351	0	0	0
1	250	221	30	895	1038	90	0	11
2	133	200	30	605	748	90	0	12
3	139	49	30	480	623	90	0	13
4	329	180	20	60	203	90	0	14
5	162	346	30	479	622	90	0	15
6	141	113	30	312	455	90	0	16
7	187	204	20	179	322	90	0	17
8	59	186	30	264	407	90	0	18
9	184	368	30	166	309	90	0	19
10	310	81	30	91	234	90	0	20
11	230	172	-30	1054	1236	90	1	0
12	182	281	-30	794	976	90	2	0
13	355	112	-30	783	965	90	3	0
14	288	304	-20	289	471	90	4	0
15	322	299	-30	753	935	90	5	0
16	274	111	-30	546	728	90	6	0
17	205	187	-20	283	465	90	7	0
18	207	57	-30	562	744	90	8	0
19	353	282	-30	440	622	90	9	0
20	105	83	-30	398	580	90	10	0
