50	200	1
0	209	209	0	0	1351	0	0	0
1	245	363	30	498	641	90	0	51
2	384	184	30	55	198	90	0	52
3	59	189	30	623	766	90	0	53
4	276	393	20	475	618	90	0	54
5	322	195	30	560	703	90	0	55
6	268	394	20	278	421	90	0	56
7	179	268	20	797	940	90	0	57
8	222	184	30	931	1074	90	0	58
9	276	269	30	181	324	90	0	59
10	276	87	30	0	139	90	0	60
11	199	77	20	0	133	90	0	61
12	98	272	30	446	589	90	0	62
13	178	212	20	594	737	90	0	63
14	222	262	30	526	669	90	0	64
15	222	209	30	45	188	90	0	65
16	289	348	20	521	664	90	0	66
17	26	198	30	387	530	90	0	67
18	123	166	30	550	693	90	0	68
19	26	222	30	207	350	90	0	69
20	218	358	20	208	351	90	0	70
21	244	298	20	228	371	90	0	71
22	157	384	30	517	660	90	0	72
23	138	207	20	742	885	90	0	73
24	19	246	20	451	594	90	0	74
25	196	155	30	0	118	90	0	75
26	205	216	30	667	810	90	0	76
27	30	253	30	221	364	90	0	77
28	292	248	30	536	679	90	0	78
29	242	46	30	556	699	90	0	79
30	329	303	30	91	234	90	0	80
31	119	195	30	610	753	90	0	81
32	245	313	20	434	577	90	0	82
33	246	204	30	831	974	90	0	83
34	61	147	30	575	718	90	0	84
35	322	156	30	463	606	90	0	85
36	55	231	30	147	290	90	0	86
37	100	88	30	459	602	90	0	87
38	233	138	30	721	864	90	0	88
39	244	316	30	120	263	90	0	89
40	218	366	30	579	722	90	0	90
41	145	201	30	710	853	90	0	91
42	386	187	30	406	549	90	0	92
43	221	216	30	1	144	90	0	93
44	81	104	20	442	585	90	0	94
45	262	213	20	0	124	90	0	95
46	246	260	30	37	180	90	0	96
47	195	117	20	70	213	90	0	97
48	208	64	30	9	152	90	0	98
49	318	182	30	522	665	90	0	99
50	103	277	30	424	567	90	0	100
51	366	224	-30	778	960	90	1	0
52	216	32	-30	378	560	90	2	0
53	127	336	-30	864	1046	90	3	0
54	60	336	-20	794	976	90	4	0
55	257	312	-30	788	970	90	5	0
56	54	326	-20	606	788	90	6	0
57	253	258	-20	957	1139	90	7	0
58	193	185	-30	1053	1235	90	8	0
59	178	294	-30	365	547	90	9	0
60	343	246	-30	253	435	90	10	0
61	329	153	-20	209	391	90	11	0
62	239	333	-30	688	870	90	12	0
63	204	240	-20	719	901	90	13	0
64	264	206	-30	700	882	90	14	0
65	212	222	-30	159	341	90	15	0
66	361	158	-20	807	989	90	16	0
67	156	33	-30	700	882	90	17	0
68	131	266	-30	754	936	90	18	0
69	154	384	-30	506	688	90	19	0
70	344	273	-20	442	624	90	20	0
71	304	202	-20	425	607	90	21	0
72	29	238	-30	791	973	90	22	0
73	194	279	-20	929	1111	90	23	0
74	94	53	-20	765	947	90	24	0
75	156	193	-30	116	298	90	25	0
76	201	208	-30	756	938	90	26	0
77	95	64	-30	516	698	90	27	0
78	192	299	-30	743	925	90	28	0
79	61	133	-30	840	1022	90	29	0
80	333	121	-30	360	542	90	30	0
81	202	118	-30	824	1006	90	31	0
82	126	283	-20	637	819	90	32	0
83	231	240	-30	972	1154	90	33	0
84	97	324	-30	854	1036	90	34	0
85	312	280	-30	688	870	90	35	0
86	131	75	-30	424	606	90	36	0
87	67	288	-30	756	938	90	37	0
88	145	170	-30	918	1100	90	38	0
89	121	280	-30	355	537	90	39	0
90	358	259	-30	842	1024	90	40	0
91	195	146	-30	871	1053	90	41	0
92	283	372	-30	724	906	90	42	0
93	220	200	-30	99	281	90	43	0
94	250	48	-20	703	885	90	44	0
95	226	159	-20	137	319	90	45	0
96	170	259	-30	209	391	90	46	0
97	285	155	-20	264	446	90	47	0
98	351	176	-30	271	453	90	48	0
99	231	99	-30	740	922	90	49	0
100	251	328	-30	662	844	90	50	0
